date,home_team,away_team,tournament,neutral,is_friendly,home_elo_before,away_elo_before,elo_diff,home_win_rate_5,home_win_rate_10,home_goals_scored_avg_5,home_goals_scored_avg_10,home_goals_conceded_avg_5,home_goals_conceded_avg_10,home_goal_diff_avg_5,home_goal_diff_avg_10,away_win_rate_5,away_win_rate_10,away_goals_scored_avg_5,away_goals_scored_avg_10,away_goals_conceded_avg_5,away_goals_conceded_avg_10,away_goal_diff_avg_5,away_goal_diff_avg_10,home_advantage,h2h_home_win_rate,h2h_avg_goal_diff,h2h_num_meetings,home_streak,away_streak,home_days_since_last,away_days_since_last,home_squad_value,away_squad_value,squad_value_diff,home_avg_age,away_avg_age,home_sentiment_avg,away_sentiment_avg,sentiment_diff,home_sentiment_volume,away_sentiment_volume,outcome
1990-02-21,Belgium,Sweden,Friendly,0,1,1493.6,1500.2438842005533,-6.64388420055343,0.0,0.0,0.0,0.0,2.0,2.0,-2.0,-2.0,0.5,0.5,1.5,1.5,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0,-1,1,35.0,4.0,20.701183900698055,19.526339809001872,1.1748440916961833,26.14,24.54,0.0,0.0,0.0,0,0,0
1990-02-21,Gambia,Guinea-Bissau,Friendly,0,1,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,30.0,30.0,18.239105304743447,16.31521049550572,1.9238948092377264,26.4,24.87,0.0,0.0,0.0,0,0,-1
1990-02-21,Kuwait,Bahrain,Gulf Cup,0,0,1481.4956685221814,1500.0,-18.504331477818596,0.0,0.0,0.5,0.5,1.25,1.25,-0.75,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,6.0,30.0,16.36238719866352,18.02390039392065,-1.661513195257129,26.48,25.22,0.0,0.0,0.0,0,0,1
1990-02-21,Morocco,Ivory Coast,Friendly,0,1,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,1.0,-0.5,-0.5,0.0,0.0,0.0,0,0,1,30.0,25.0,19.852234400196547,19.826688708798113,0.025545691398434656,24.9,25.43,0.0,0.0,0.0,0,0,1
1990-02-21,Netherlands,Italy,Friendly,0,1,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,30.0,30.0,21.178167666509996,21.049017863326217,0.129149803183779,25.6,25.59,0.0,0.0,0.0,0,0,0
1990-02-21,Spain,Czechoslovakia,Friendly,0,1,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,30.0,30.0,20.983436380042647,14.40163918241002,6.581797197632627,25.41,24.11,0.0,0.0,0.0,0,0,1
1990-02-22,Costa Rica,Russia,Marlboro Cup,1,0,1500.0,1499.8158257405153,0.18417425948473465,0.5,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,18.0,2.0,19.73509048328846,19.69986278367614,0.03522769961232086,26.1,26.61,0.0,0.0,0.0,0,0,-1
1990-02-22,Oman,United Arab Emirates,Gulf Cup,1,0,1500.0,1499.9831911651029,0.016808834897119596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3333333333333333,1.0,1.0,1.0,1.1666666666666667,0.0,-0.16666666666666666,0.0,0.0,0.0,0,0,-1,30.0,5.0,16.032802433450605,18.243107965839517,-2.2103055323889116,25.98,25.34,0.2277,0.1965,0.031200000000000006,2,1,0
1990-02-23,Qatar,Bahrain,Gulf Cup,1,0,1500.0,1491.5743244362716,8.425675563728419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,-1,30.0,2.0,19.6169067300171,18.02390039392065,1.593006336096451,25.8,25.22,0.0,0.0,0.0,0,0,0
1990-02-24,Kuwait,Oman,Gulf Cup,0,0,1489.9213440859098,1499.9996129622737,-10.078268876363836,0.2,0.2,0.6,0.6,1.0,1.0,-0.4,-0.4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.2,0.0,0.0,0,1,0,3.0,2.0,16.36238719866352,16.032802433450605,0.329584765212914,26.48,25.98,0.0,0.2277,-0.2277,0,2,0
1990-02-24,United States,Russia,Friendly,0,1,1498.5473394075877,1507.820066509162,-9.272727101574219,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0,-0.3333333333333333,-0.3333333333333333,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0,1,1,11.0,2.0,19.752355143986136,19.69986278367614,0.05249236030999782,24.41,26.61,0.0,0.0,0.0,0,0,-1
1990-02-27,Qatar,United Arab Emirates,Gulf Cup,1,0,1499.8060296744925,1499.9835782028292,-0.17754852833672885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2857142857142857,1.0,1.0,1.2,1.1428571428571428,-0.2,-0.14285714285714285,0.0,0.0,0.0,0,0,0,4.0,5.0,19.6169067300171,18.243107965839517,1.3737987641775824,25.8,25.34,0.0,0.1965,-0.1965,0,1,0
1990-02-28,Egypt,Austria,Friendly,0,1,1499.7764098870296,1500.0,-0.22359011297044162,0.25,0.25,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,10.0,30.0,19.67274519997326,19.90216190226526,-0.22941670229199929,24.53,25.63,0.0,0.0,0.0,0,0,0
1990-02-28,France,Germany,Friendly,0,1,1512.682120975899,1500.0,12.682120975898897,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,2,0,35.0,30.0,21.293900210407436,21.118331252560253,0.17556895784718307,25.48,26.51,0.0,0.0,0.0,0,0,1
1990-03-01,Bahrain,Oman,Gulf Cup,1,0,1491.768294761779,1499.7676173120044,-7.999322550225315,0.0,0.0,0.0,0.0,0.5,0.5,-0.5,-0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,6.0,5.0,18.02390039392065,16.032802433450605,1.991097960470043,25.22,25.98,0.0,0.0,0.0,0,0,0
